Modality,Filter,MSE,PSNR,SSIM,SNR,Time(s)
MRI,Anisotropic,1999.5718460513162,15.129500751661064,0.11919041099205525,3.5699424186495756,0.026827573776245117
MRI,Bilateral,101.85372948402704,28.325907418192607,0.6007569495321488,16.766349085181112,0.003425884246826172
MRI,Curvelet,475.30595665548134,21.370146083317657,0.25519852303379104,9.810587750306166,1.5735626220703124e-06
MRI,EMA,280.85265915342035,23.91070426351853,0.4110611663400718,12.351145930507041,0.0024847984313964844
MRI,Gaussian,92.7836523876535,28.782451657239513,0.6023589280146135,17.22289332422802,0.00013790130615234374
MRI,Hybrid,96.73286904456283,29.13791319688765,0.760116008749266,17.57835486387616,0.0013102054595947265
MRI,Mean,108.92682148609501,28.232972302035943,0.5974746786151548,16.673413969024455,0.00010733604431152343
MRI,Median,69.87643036349189,30.02236577712926,0.7110879163619916,18.462807444117775,0.0012279033660888671
MRI,Moving_Avg,150.90435269546848,26.405975488713437,0.44864107995000635,14.846417155701952,0.00018243789672851564
MRI,NLM,374.39607304289876,22.439218156374785,0.3196771144194238,10.879659823363298,0.09827685356140137
MRI,Wavelet,304.0011905442262,23.313114374990853,0.31817019849412026,11.753556041979365,0.0060005664825439455
MRI,Wiener,108.57050873595537,27.86450191910284,0.5665102290265154,16.304943586091348,0.018142127990722658
Ultrasound,Anisotropic,2229.9798966594144,14.659271813088614,0.13795290979058597,6.937495219308326,0.02755589485168457
Ultrasound,Bilateral,94.10399148530412,28.442963708750586,0.7730236696600263,20.721187114970295,0.0034963607788085936
Ultrasound,Curvelet,527.4858511457481,21.016330771195662,0.4981950171219228,13.294554177415378,1.9073486328125e-06
Ultrasound,EMA,146.5179522602557,26.509196732819778,0.7308124209027576,18.78742013903949,0.0027045726776123045
Ultrasound,Gaussian,70.7071818641646,29.682394808620728,0.8482690726988726,21.96061821484044,0.00014009475708007813
Ultrasound,Hybrid,107.33804823132994,27.944516042568193,0.7828240045482578,20.222739448787905,0.0010813236236572265
Ultrasound,Mean,87.6084542570677,28.761088306597845,0.8124622748700029,21.039311712817554,0.00010595321655273437
Ultrasound,Median,95.43964412028552,28.382161230853722,0.7929866426157862,20.66038463707343,0.0009708881378173828
Ultrasound,Moving_Avg,122.75069942035888,27.339967353227905,0.7674509637671998,19.618190759447618,0.00019516944885253907
Ultrasound,NLM,496.95493473225326,21.301689486006445,0.5643620119771164,13.579912892226158,0.1050074577331543
Ultrasound,Wavelet,359.328067635009,22.712986552286516,0.5974013567204931,14.991209958506227,0.005539703369140625
Ultrasound,Wiener,150.54826687079296,26.39829203304482,0.7583117169737864,18.676515439264534,0.019315528869628906
ct,Anisotropic,1681.2194053649903,15.891608204400395,0.29010849268907074,12.218326643831382,0.04341301918029785
ct,Bilateral,234.15134811401367,24.530679098185125,0.420461950103409,20.857397537616112,0.0040967464447021484
ct,Curvelet,463.7230964660645,21.473781514470957,0.4435626084570467,17.800499953901944,2.1457672119140625e-06
ct,EMA,423.56616134643554,21.974424301679715,0.4354540757034228,18.301142741110702,0.003862428665161133
ct,Gaussian,394.8692680358887,22.28660564149623,0.35730837893904793,18.613324080927217,0.00016622543334960939
ct,Hybrid,474.59655380249023,21.451290533622295,0.40996879769479955,17.778008973053282,0.002215862274169922
ct,Mean,487.68323745727537,21.345682480203088,0.30162794550576494,17.672400919634075,0.00014181137084960936
ct,Median,358.31335525512696,22.697905528684238,0.4035091390109768,19.024623968115225,0.0019721508026123045
ct,Moving_Avg,322.627685546875,23.191151101537617,0.3988313202962055,19.517869540968608,0.0002498626708984375
ct,NLM,407.97583389282227,22.02920356625927,0.46160433350970986,18.355922005690253,0.10869135856628417
ct,Wavelet,327.8870933532715,22.975302785081077,0.4797922702267699,19.302021224512064,0.00971827507019043
ct,Wiener,253.4505599975586,24.23451339452894,0.36701605575063523,20.561231833959926,0.025159454345703124
